repository	module	file	line	match
modules	collectionsman	collectionsman/classes/collectionops_class_inc.php	111	        $this->loadClass('htmlarea', 'htmlelements');
modules	collectionsman	collectionsman/classes/collectionops_class_inc.php	160	        $desc = $this->newObject('htmlarea', 'htmlelements');
modules	collectionsman	collectionsman/classes/collectionops_class_inc.php	226	        $this->loadClass('htmlarea', 'htmlelements');
modules	contentblocks	contentblocks/classes/contentblockui_class_inc.php	491	        $objElement = $this->newObject('htmlarea', 'htmlelements');
modules	contextcontent	contextcontent/templates/content/addeditchapter_tpl.php	103	$htmlArea = $this->newObject('htmlarea', 'htmlelements');
modules	contextcontent	contextcontent/templates/content/addeditpage_tpl.php	50	$htmlarea = $this->newObject('htmlarea', 'htmlelements');
modules	contextcontent	contextcontent/templates/content/nochapters_tpl.php	29	$htmlArea = $this->newObject('htmlarea', 'htmlelements');
modules	das	das/classes/dasops_class_inc.php	155	            //$this->loadClass('htmlarea', 'htmlelements');
modules	das	das/classes/dasops_class_inc.php	178	            $comm = $this->getObject ( 'htmlarea', 'htmlelements' );
modules	discussion	discussion/classes/block_editpost_class_inc.php	105	        $editor = &$this->newObject('htmlarea', 'htmlelements');
modules	discussion	discussion/classes/block_newtopic_class_inc.php	217	        $editor = &$this->newObject('htmlarea', 'htmlelements');
modules	discussion	discussion/classes/block_topicmoderation_class_inc.php	344	        $editor = &$this->newObject('htmlarea', 'htmlelements');
modules	discussion	discussion/classes/dbpost_class_inc.php	816	                                $editor = &$this->newObject('htmlarea', 'htmlelements');
modules	discussion	discussion/classes/dbpost_class_inc.php	1535	                        $editor = &$this->newObject('htmlarea', 'htmlelements');
modules	discussion	discussion/controller.php	174	                $this->ckElement = $this->newObject('htmlarea', 'htmlelements');
modules	discussion	discussion/templates/content/discussion_editpost.php	84	//$editor=&$this->newObject('htmlarea','htmlelements');
modules	discussion	discussion/templates/content/discussion_moderatetopic.php	316	//$editor=&$this->newObject('htmlarea','htmlelements');
modules	discussion	discussion/templates/content/discussion_newtopic.php	194	//$editor=&$this->newObject('htmlarea','htmlelements');
modules	discussion	discussion/templates/content/discussion_postreply.php	170	//$editor=&$this->newObject('htmlarea','htmlelements');
modules	discussion	discussion/templates/content/discussion_topicstatus.php	86	$editor=&$this->newObject('htmlarea','htmlelements');
modules	discussion	discussion/templates/content/discussion_translatepost_form.php	75	$editor=&$this->newObject('htmlarea','htmlelements');
modules	efl	efl/templates/content/addeditessay_tpl.php	82	$htmlarea = $this->newObject('htmlarea', 'htmlelements');
modules	elsitraining	elsitraining/templates/content/addedittraining_tpl.php	22	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/add_activity_tpl.php	125	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/add_affiliation_tpl.php	147	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/add_assertion_tpl.php	106	    $editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/add_competency_tpl.php	90	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/add_goals_tpl.php	165	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/add_interest_tpl.php	89	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/add_product_tpl.php	171	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/add_qcl_tpl.php	131	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/add_reflection_tpl.php	96	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/add_transcript_tpl.php	67	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/edit_activity_tpl.php	134	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/edit_affiliation_tpl.php	153	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/edit_assertion_tpl.php	106	    $editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/edit_competency_tpl.php	94	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/edit_goals_tpl.php	180	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/edit_interest_tpl.php	93	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/edit_product_tpl.php	177	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/edit_qcl_tpl.php	135	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/edit_reflection_tpl.php	99	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	eportfolio	eportfolio/templates/content/edit_transcript_tpl.php	68	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	etd	etd/classes/configure_class_inc.php	56	            $this->objEditor = $this->newObject('htmlarea', 'htmlelements');
modules	etd	etd/classes/management_class_inc.php	70	            $this->objEditor = $this->newObject('htmlarea', 'htmlelements');
modules	etd	etd/classes/submit_class_inc.php	57	            $this->objEditor = $this->newObject('htmlarea', 'htmlelements');
modules	events	events/classes/eventsops_class_inc.php	1103	        $this->loadClass('htmlarea', 'htmlelements');
modules	events	events/classes/eventsops_class_inc.php	1143	        $friendmsg = $this->newObject('htmlarea', 'htmlelements');
modules	events	events/classes/eventsops_class_inc.php	1340	        $description = $this->newObject('htmlarea', 'htmlelements');
modules	events	events/classes/eventsops_class_inc.php	1852	        $vdescription = $this->newObject('htmlarea', 'htmlelements');
modules	events	events/classes/eventssocial_class_inc.php	121	        $this->loadClass('htmlarea', 'htmlelements');
modules	eventscalendar	eventscalendar/templates/content/add_tpl.php	16	$objEditor = & $this->newObject('htmlarea', 'htmlelements');
modules	examiners	examiners/classes/examdisplay_class_inc.php	106	        $this->objEditor = $this->newObject('htmlarea', 'htmlelements');
modules	faq	faq/templates/content/add_tpl.php	56	$answer = $this->newObject('htmlarea', 'htmlelements');
modules	faq	faq/templates/content/edit_tpl.php	58	$answer = $this->newObject('htmlarea', 'htmlelements');
modules	featuresuggest	featuresuggest/classes/featureops_class_inc.php	110	        $this->loadClass('htmlarea', 'htmlelements');
modules	featuresuggest	featuresuggest/classes/featuresui_class_inc.php	112	        $this->loadClass('htmlarea', 'htmlelements');
modules	formbuilder	formbuilder/classes/form_entity_textarea_class_inc.php	111	      $this->loadClass('htmlarea','htmlelements');
modules	formbuilder	formbuilder/classes/form_entity_textarea_class_inc.php	490	//$taUnderConstruction = $this->newObject('htmlarea','htmlelements');
modules	formbuilder	formbuilder/classes/form_entity_textarea_class_inc.php	529	//     $taUnderConstruction = $this->newObject('htmlarea','htmlelements');
modules	formbuilder	formbuilder/classes/form_entity_textarea_class_inc.php	591	//  $this->objTextArea = $this->newObject('htmlarea','htmlelements');
modules	formbuilder	formbuilder/classes/form_entity_textarea_class_inc.php	627	//  $this->objTextArea = $this->newObject('htmlarea','htmlelements');
modules	formbuilder	formbuilder/templates/content/form_element_editor.php	71	$this->loadClass('htmlarea', 'htmlelements');
modules	formbuilder	formbuilder/templates/content/form_element_editor.php	204	//   $ha = $this->newObject('htmlarea','htmlelements');
modules	forms	forms/classes/ui_class_inc.php	251	            $bodyInput = $this->newObject('htmlarea', 'htmlelements');
modules	forum	forum/classes/block_editpost_class_inc.php	105	        $editor = &$this->newObject('htmlarea', 'htmlelements');
modules	forum	forum/classes/block_newtopic_class_inc.php	217	        $editor = &$this->newObject('htmlarea', 'htmlelements');
modules	forum	forum/classes/block_topicmoderation_class_inc.php	344	        $editor = &$this->newObject('htmlarea', 'htmlelements');
modules	forum	forum/classes/dbpost_class_inc.php	1011	                                $editor = &$this->newObject('htmlarea', 'htmlelements');
modules	forum	forum/classes/dbpost_class_inc.php	1567	                        $editor = &$this->newObject('htmlarea', 'htmlelements');
modules	forum	forum/controller.php	179	                $this->ckElement = $this->newObject('htmlarea', 'htmlelements');
modules	forum	forum/templates/content/forum_editpost.php	84	//$editor=&$this->newObject('htmlarea','htmlelements');
modules	forum	forum/templates/content/forum_moderatetopic.php	316	//$editor=&$this->newObject('htmlarea','htmlelements');
modules	forum	forum/templates/content/forum_newtopic.php	194	//$editor=&$this->newObject('htmlarea','htmlelements');
modules	forum	forum/templates/content/forum_postreply.php	170	//$editor=&$this->newObject('htmlarea','htmlelements');
modules	forum	forum/templates/content/forum_topicstatus.php	86	$editor=&$this->newObject('htmlarea','htmlelements');
modules	forum	forum/templates/content/forum_translatepost_form.php	75	$editor=&$this->newObject('htmlarea','htmlelements');
modules	gift	gift/templates/content/addeditgift_tpl.php	49	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	gift	gift/templates/content/addeditgift_tpl.php	137	$editor = $this->newObject('htmlarea', 'htmlelements');
modules	hivaids	hivaids/classes/hivaidstools_class_inc.php	462	        $objEditor = $this->newObject('htmlarea', 'htmlelements');
modules	hivaidsforum	hivaidsforum/classes/hivtools_class_inc.php	45	        $this->objEditor = $this->newObject('htmlarea', 'htmlelements');
modules	homepage	homepage/templates/content/edithomepage_tpl.php	13		$htmlarea = $this->getObject("htmlarea","htmlelements");
modules	hosportal	hosportal/classes/editmessage_class_inc.php	183	      // $objHTMLArea= $this->loadClass('htmlarea','htmlelements');
modules	hosportal	hosportal/classes/editmessage_class_inc.php	184	     //  $objHTMLArea= $this->newObject('htmlarea','htmlelements');
modules	hotels	hotels/classes/dbhotelscategories_class_inc.php	576	            $objIntroduction = $this->newObject('htmlarea', 'htmlelements');
modules	hotels	hotels/templates/content/addeditstory.php	304	$htmlarea = $this->newObject('htmlarea', 'htmlelements');
modules	hrwizard	hrwizard/classes/hrwizardops_class_inc.php	206				//$this->loadClass('htmlarea', 'htmlelements');
modules	hrwizard	hrwizard/classes/hrwizardops_class_inc.php	261				$comm = $this->getObject('htmlarea','htmlelements');
modules	im	im/classes/imops_class_inc.php	116	            //$this->loadClass('htmlarea', 'htmlelements');
modules	im	im/classes/imops_class_inc.php	139	            $comm = $this->getObject ( 'htmlarea', 'htmlelements' );
modules	internalmail	internalmail/templates/content/addressbook_tpl.php	24	$objEditor = $this->loadClass('htmlarea', 'htmlelements');
modules	internalmail	internalmail/templates/content/entries_tpl.php	55	$objEditor = $this->loadClass('htmlarea', 'htmlelements');
modules	jturnitin	jturnitin/classes/forms_class_inc.php	72	            //$this->loadClass('htmlarea', 'htmlelements');
modules	jukskei	jukskei/templates/content/addeditarticle_tpl.php	39	$htmlarea = $this->newObject('htmlarea', 'htmlelements');
modules	jukskei	jukskei/templates/content/addedittopic_tpl.php	39	$htmlarea = $this->newObject('htmlarea', 'htmlelements');
modules	kngimport	kngimport/classes/utils_class_inc.php	535				$inpAbout =  $this->newObject('htmlarea','htmlelements');
modules	kngimport	kngimport/templates/content/add_tpl.php	17	    $editor=$this->newObject('htmlarea','htmlelements');
modules	kngimport	kngimport/templates/content/addstep2_tpl.php	17	$inpAbout =  $this->newObject('htmlarea','htmlelements');
modules	kngimport	kngimport/templates/content/chisimbaToIMS_tpl.php	8	$this->loadClass('htmlarea', 'htmlelements');
modules	kngimport	kngimport/templates/content/edit_tpl.php	20	        $editor=$this->newObject('htmlarea','htmlelements');
modules	kngimport	kngimport/templates/content/eduCommonsToChisimba_tpl.php	8	$this->loadClass('htmlarea', 'htmlelements');
modules	learningcontent	learningcontent/templates/content/addeditchapter_tpl.php	36	$htmlArea = $this->newObject('htmlarea', 'htmlelements');
