file	line	call	code
framework/app/core_modules/canvas/templates/content/edit_tpl.php	68	show	$objForm->addToForm($objElement->show());
framework/app/core_modules/canvas/templates/content/edit_tpl.php	81	show	$txtToShow = $objElement->show() . $pname;
framework/app/core_modules/canvas/templates/content/edit_tpl.php	87	show	$txtToShow = $objElement->show();
framework/app/core_modules/canvas/templates/content/edit_tpl.php	91	show	$objForm->addToForm($pnameLabel->show().": ". $txtToShow ."<br />");
framework/app/core_modules/canvas/templates/content/edit_tpl.php	102	show	$objForm->addToForm($ptagLabel->show().": ".$objElement->show()."<br />");
framework/app/core_modules/canvas/templates/content/edit_tpl.php	124	show	$objForm->addToForm('<br/>&nbsp;'.$objElement->show()."&nbsp;".$objCancel->show());
framework/app/core_modules/canvas/templates/content/edit_tpl.php	125	show	echo $str . "<div class='standard_form'>" . $objForm->show() . "</div>";
framework/app/core_modules/ckeditor/resources/ckeditor/ckeditor_php4.php	143	init	$out .= $this->init();
framework/app/core_modules/ckeditor/resources/ckeditor/ckeditor_php4.php	181	init	$out .= $this->init();
framework/app/core_modules/ckeditor/resources/ckeditor/ckeditor_php4.php	224	init	$out .= $this->init();
framework/app/core_modules/ckeditor/resources/ckeditor/ckeditor_php5.php	139	init	$out .= $this->init();
framework/app/core_modules/ckeditor/resources/ckeditor/ckeditor_php5.php	177	init	$out .= $this->init();
framework/app/core_modules/ckeditor/resources/ckeditor/ckeditor_php5.php	220	init	$out .= $this->init();
framework/app/core_modules/ckeditor2/classes/dbckeditor2_class_inc.php	75	init	parent::init('tbl_ckeditor2_text');
framework/app/core_modules/config/classes/altconfig_class_inc.php	349	setContent	$this->SettingsDirective->setContent ( $pvalue );
framework/app/core_modules/config/classes/altconfig_class_inc.php	446	setContent	$SettingsDirective->setContent ( $pvalue );
framework/app/core_modules/config/classes/altconfig_class_inc.php	557	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	596	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	634	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	673	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	712	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	751	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	789	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	849	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	889	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	932	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	972	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	1013	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	1053	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	1093	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	1114	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	1179	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	1224	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	1324	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	1364	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	1667	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	1694	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/altconfig_class_inc.php	1754	setContent	$SettingsDirective->setContent ( $value );
framework/app/core_modules/config/classes/ini_class_inc.php	352	setContent	$this->SettingsDirective->setContent ( $pvalue );
framework/app/core_modules/config/classes/sysconfig_enable_apc_class_inc.php	88	show	return $str . $objElement->show ();
framework/app/core_modules/config/classes/sysconfig_kewl_default_skin_class_inc.php	91	show	return $objElement->show ();
framework/app/core_modules/context/classes/block_aboutcontext_class_inc.php	101	show	$link->link=$objIcon->show();
framework/app/core_modules/context/classes/block_aboutcontext_class_inc.php	102	show	$showEdit=$link->show();
framework/app/core_modules/context/classes/block_browsecontext_class_inc.php	131	show	$objExtJS->show();
framework/app/core_modules/context/classes/block_context_class_inc.php	116	show	$form->addToForm($dropdown->show().'<br />'.$button->show());
framework/app/core_modules/context/classes/block_context_class_inc.php	118	show	return $form->show();
framework/app/core_modules/context/classes/block_contextmodules_class_inc.php	130	show	$link->link = $objIcon->show();
framework/app/core_modules/context/classes/block_contextmodules_class_inc.php	131	show	$table->addCell($link->show(), 25, 'middle');
framework/app/core_modules/context/classes/block_contextmodules_class_inc.php	133	show	$table->addCell($link->show(), '45%', 'middle');
framework/app/core_modules/context/classes/block_contextmodules_class_inc.php	147	show	$str = $table->show();
framework/app/core_modules/context/classes/block_contextmodules_class_inc.php	153	show	return $str.'<p class="admin_link">'.$link->show().'</p>';
framework/app/core_modules/context/classes/block_contextsettings_class_inc.php	114	show	$image = $objIcon->show();
framework/app/core_modules/context/classes/block_contextsettings_class_inc.php	138	show	return $table->show().'<p>'.$link->show().'</p>';
framework/app/core_modules/context/classes/block_contextstats_class_inc.php	96	show	return $objFlashGraph->show().'<br />Note: Stats are currently incorrect - this is just a demo!';
framework/app/core_modules/context/classes/block_loginstats_class_inc.php	128	show	return $this->rTable->show();
framework/app/core_modules/context/classes/block_mycontexts_class_inc.php	149	show	$form->addToForm($dropdown->show().'<br />'.$button->show());
framework/app/core_modules/context/classes/block_mycontexts_class_inc.php	151	show	return $form->show();
framework/app/core_modules/context/classes/contextforms_class_inc.php	98	show	$str = $header->show();
framework/app/core_modules/context/classes/contextforms_class_inc.php	154	show	$table->addCell($codeLabel->show(), 100);
framework/app/core_modules/context/classes/contextforms_class_inc.php	155	show	$table->addCell($code->show().' <span id="contextcodemessage"></span>');
framework/app/core_modules/context/classes/contextforms_class_inc.php	161	show	$table->addCell($titleLabel->show().':');
framework/app/core_modules/context/classes/contextforms_class_inc.php	162	show	$table->addCell($title->show());
framework/app/core_modules/context/classes/contextforms_class_inc.php	172	show	$table->addCell($status->show());
framework/app/core_modules/context/classes/contextforms_class_inc.php	178	show	$table->addCell($access->show());
framework/app/core_modules/context/classes/contextforms_class_inc.php	199	show	$table->addCell($emailAlert->show());
framework/app/core_modules/context/classes/contextforms_class_inc.php	208	show	$table2->addCell($table->show(), 600, NULL, NULL, NULL, 'colspan="2"');
framework/app/core_modules/context/classes/contextforms_class_inc.php	209	show	$table2->addCell($objSelectImage->show());
framework/app/core_modules/context/classes/contextforms_class_inc.php	221	construct	$htmlEditor = $this->newObject('htmlarea', 'htmlelements');
framework/app/core_modules/context/classes/contextforms_class_inc.php	229	show	$table2->addCell($htmlEditor->show(), NULL, NULL, NULL, NULL, 'colspan="2"');
framework/app/core_modules/context/classes/contextforms_class_inc.php	249	show	$table2->addCell($button->show(), NULL, NULL, NULL, NULL, 'colspan="2"');
framework/app/core_modules/context/classes/contextforms_class_inc.php	254	show	$form->addToForm($table2->show());
framework/app/core_modules/context/classes/contextforms_class_inc.php	257	show	$form->addToForm($access->show());
framework/app/core_modules/context/classes/contextforms_class_inc.php	262	show	$form->addToForm($hiddenInput->show());
framework/app/core_modules/context/classes/contextforms_class_inc.php	267	show	$str .= $form->show();
framework/app/core_modules/context/classes/contextsidebar_class_inc.php	87	show	$str .= $header->show();
framework/app/core_modules/context/classes/contextsidebar_class_inc.php	130	show	$str .= $objSideBar->show($nodes, $activeId);
framework/app/core_modules/context/classes/contextsidebar_class_inc.php	151	show	$form->addToForm($module->show().$action->show());
framework/app/core_modules/context/classes/contextsidebar_class_inc.php	159	show	$form->addToForm('<p align="center">'.$textinput->show().'<br />'.$button->show().'</p>');
framework/app/core_modules/context/classes/contextsidebar_class_inc.php	161	show	return $form->show();
framework/app/core_modules/context/classes/dbcontentnodes_class_inc.php	101	init	parent::init ( 'tbl_context_nodes' );
